author,content,time,likes,sentiment,url,post_time_of_day,post_day_of_week,sentiment_score,emotion_label,location,geolocation
allysultana259.bsky.social,"Australia just had an election here and all but desecrated our far right pary to an impotent opposition. The future is looking wonderful down here. Come on down, so to speak.
Ps, don't worry about the spiders and the snakes and the Sharks and the drop bears if you leave them alone they want hurt you",2025-05-11T12:02:14.050Z,1,negative,https://bsky.app/profile/allysultana259.bsky.social/post/3lovfw6yd3s2z,Afternoon,Sunday,-0.8955668509791435,negative,,
allysultana259.bsky.social,"Jacinta price has formally quit the nationals and has put forth her nomination to be deputy to angus..
What a pair... it's going to be funny as hell watching the pair back stab each other as she tries to become leader of the Liberal Party before the next election. She wants to be p.m. of Australia",2025-05-11T10:55:48.448Z,9,negative,https://bsky.app/profile/allysultana259.bsky.social/post/3lovc7gacds2u,Morning,Sunday,-0.9683464714850842,negative,,
republicofone.bsky.social,"They are a lame duck opposition and none of them will be leader at the next election anyway.If they do choose Taylor/Price and go further to the MAGA right, they may as well save themselves a heap of $$ and not bother with a review of this last loss, as they are deaf to what Australia just told them",2025-05-11T10:49:34.247Z,3,negative,https://bsky.app/profile/republicofone.bsky.social/post/3lovbua6toc2n,Morning,Sunday,-0.95804414252778,negative,,
jenglambie.bsky.social,"Please don't get sick Albo & make sure your Comm car driver has advanced driving skills because I would suggest the last thing Australia needs after such a monumental election win, is Deputy PM Marles, 'the hawk', waiting in the wings, with a hugely unstable USA & AUKUS.",2025-05-11T10:39:57.045Z,4,negative,https://bsky.app/profile/jenglambie.bsky.social/post/3lovbd2i3es2s,Morning,Sunday,-0.8861949374584293,negative,,
token1.bsky.social,"Australians said ‘We see through the establishment, we see through the kind of divide the Coalition are pushing, and they’re not giving us any policy.’

“Australia still has issues with hatred and division, but this election showed you can’t run on woke culture wars, because people will reject you.”",2025-05-11T09:53:34.251Z,0,negative,https://bsky.app/profile/token1.bsky.social/post/3lov6q3zfec2f,Morning,Sunday,-0.8360234643293927,negative,,
alyswall.bsky.social,"CNN breaks down Trump effect on Australian election - post election result, May 3.
Enten breaks down how Australians view Trump’s impact on their country
#Auspol, #Australia, #Labor
www.cnn.com/2025/05/03/w...",2025-05-11T09:45:37.151Z,2,negative,https://bsky.app/profile/alyswall.bsky.social/post/3lov6bt3sqc22,Morning,Sunday,-0.6400852821131855,negative,,
netnurse.bsky.social,"As an Australian I think it’s fair to say that our election last week was a repudiation of Trump in Australia. The opposition here literally promised a DOGE, and some even wore MAGA hats. It didn’t go down well.",2025-05-11T09:35:41.945Z,1,negative,https://bsky.app/profile/netnurse.bsky.social/post/3lov5q6egwe2k,Morning,Sunday,-0.9922664576452892,negative,,
benansell.bsky.social,Some telling insights in this piece. Looks like the third election in a few weeks that was a deliberate snub of Trump after Canada and Australia.,2025-05-11T08:34:53.448Z,23,negative,https://bsky.app/profile/benansell.bsky.social/post/3lov2dehzgk2g,Morning,Sunday,-0.8316626834223353,negative,,
thatgarthguy.bsky.social,"Tbf, an election a year still seems a bit much imho, like I'd argue Australia should at least sync its local and state elections",2025-05-11T08:14:51.152Z,2,negative,https://bsky.app/profile/thatgarthguy.bsky.social/post/3louz7namic2c,Morning,Sunday,-0.8316626834223309,negative,,
ellenhrebeniuk.bsky.social,"I made the mistake of arguing with a guy who insisted that this election showed a huge moral shift in Australia ""away from traditional family values"", AND that the Libs lost seats because they weren't RW enough.",2025-05-11T07:51:51.652Z,5,negative,https://bsky.app/profile/ellenhrebeniuk.bsky.social/post/3louxwfe35k23,Morning,Sunday,-0.9861179633028252,negative,,
mitsnoyl.bsky.social,I’m commenting from the point of view of a Western European but nobody is immune to the possibility- just look at recent election results in many European countries. Seems like Canada and Australia have become the leaders of the free world.,2025-05-11T07:47:20.949Z,5,negative,https://bsky.app/profile/mitsnoyl.bsky.social/post/3louxofzdbs2w,Morning,Sunday,-0.849171474901325,negative,,
ericbanana.bsky.social,"Because of a delayed election day due to Cyclone Alfred, the effects of Typhoon Trump were more fully apparent by the time Australia finally went to the polls.",2025-05-11T07:46:20.404Z,3,negative,https://bsky.app/profile/ericbanana.bsky.social/post/3louxmlkj322v,Morning,Sunday,-0.6859258490426976,negative,,
wellmaywesay.bsky.social,"You probably know about the fossil fuel lobby's ""Advance Australia"" that spent a fortune trying to crush the Greens. The ALP had one too - the ironically named ""Better Australia"" - which also spent vast sums lying about the Greens. This election was about big money trying to stop progressive policy.",2025-05-11T07:44:26.248Z,15,negative,https://bsky.app/profile/wellmaywesay.bsky.social/post/3louxj43jjc2e,Morning,Sunday,-0.9954823755021668,negative,,
stevethegecko.bsky.social,"This confused the heck out of me because we just had an election in Australia, but our far right conservatives are called Liberals (neoliberal). Also it’s mandatory to vote here.",2025-05-11T05:38:53.645Z,1,negative,https://bsky.app/profile/stevethegecko.bsky.social/post/3louqipicx22o,Night,Sunday,-0.9296267399391512,negative,,
phantomdiorama.bsky.social,The bait-and-switch of changing parties minutes after an election should not be legal. But then running for a leadership position in the new party? That’s taking the piss www.theguardian.com/australia-ne...,2025-05-11T05:23:05.988Z,3,negative,https://bsky.app/profile/phantomdiorama.bsky.social/post/3loupmb3b522z,Night,Sunday,-0.9456317165608356,negative,,
nighthawk.aus.social.ap.brid.gy,In its recent federal election Australia buckled the global trend where far right & populist parties gets ahead by mobilising angry young man. Why? Some suggest that compulsory voting plays a significant role […],2025-05-11T10:05:07.449Z,0,negative,https://bsky.app/profile/nighthawk.aus.social.ap.brid.gy/post/3loupg3hc7ar2,Morning,Sunday,-0.769439024163155,negative,,
fad1.bsky.social,"Maths is similar in Australia, and we just resoundingly rejected nuclear at our federal election. Go renewable, save money, and avoid radioactive waste.",2025-05-11T05:00:35.750Z,1,negative,https://bsky.app/profile/fad1.bsky.social/post/3louoe77r4c27,Night,Sunday,-0.626232073286348,negative,,
worldbytenews.bsky.social,"Australia news live: Littleproud says Canavan leadership challenge ‘healthy’; teen caught with knife and fake gun outside AFL match​on May 11, 2025 at 4:29 am

Nationals leader applauds his colleague for having the courage to put up his hand. Follow today’s news liveFull federal election results:…",2025-05-11T04:52:32.751Z,0,negative,https://bsky.app/profile/worldbytenews.bsky.social/post/3lounvu6p5423,Night,Sunday,-0.9771281645420424,negative,,
johnnol1.bsky.social,"Did Australia really reject Trumpism at the federal election?
open.substack.com/pub/tdunlop/...",2025-05-11T04:44:07.251Z,2,neutral,https://bsky.app/profile/johnnol1.bsky.social/post/3loungnjems2x,Night,Sunday,-0.3050539274900694,neutral,,
minghow1.bsky.social,"A white South Efrikan who migrated to Australia voted conservative all his life - until this election, when he took a close look at conservative policy, was disgusted, and voted Labor.",2025-05-11T03:40:03.347Z,3,negative,https://bsky.app/profile/minghow1.bsky.social/post/3louju6fqck2b,Night,Sunday,-0.7128235288203872,negative,,
leroylynch.bsky.social,"Labor’s clean sweep in Australian election suggests young male voters are bucking global trends. But why? 
www.theguardian.com/australia-ne... #auspol 
Note the bit about compulsory voting at the end.",2025-05-11T03:13:22.148Z,3,negative,https://bsky.app/profile/leroylynch.bsky.social/post/3louieexgyc2l,Night,Sunday,-0.7606525967738116,negative,,
mgonzostein.bsky.social,"I have a friend in Sydney, AU. She told me that she had never seen such insanity during an election. ""The  people of Australia were much too afraid to elect anyone who stood to be extremely racist, homophobic, authoritarian...""",2025-05-11T02:12:48.046Z,9,negative,https://bsky.app/profile/mgonzostein.bsky.social/post/3louey6443s2n,Night,Sunday,-0.9613703332672988,negative,,
bluesky.awakari.com,"Australian election 2025 Australia news Anthony Albanese Joe Rogan Donald Trump Far right Labor party Gender Men Australian politics The far right The ALP’s massive electoral victory goes against trends across parts of the west, Asia and Africa, in wh...

| Details | Interest | Feed |",2025-05-11T01:59:09.351Z,1,positive,https://bsky.app/profile/bluesky.awakari.com/post/3loue7sot7m2j,Night,Sunday,0.8288773779892593,positive,,
irishpaul-clerkin.bsky.social,Labor’s clean sweep in Australian election suggests young male voters are bucking global trends. But why? www.theguardian.com/australia-ne...,2025-05-11T01:44:34.945Z,3,negative,https://bsky.app/profile/irishpaul-clerkin.bsky.social/post/3loudfo6qus2h,Night,Sunday,-0.626232073286348,negative,,
bluesky.awakari.com,"Latest news, breaking news and current affairs coverage from across Australia from theguardian.com Australia news | The Guardian https://www.theguardian.com/australia-news/2025/may/11/labors-clean-sweep-in-australian-election-suggests-young-male-voters-...

| Details | Interest | Feed |",2025-05-11T01:31:49.852Z,0,positive,https://bsky.app/profile/bluesky.awakari.com/post/3loucowp3yg2o,Night,Sunday,0.989595943439227,positive,,
stranger84.bsky.social,"The Guardian article on the Australian election results and the Labor Party's victory shows that the populist MAGA model in the United States is not accepted in the Western world and is not spreading,which reinforces the view that it will disappear.
More details 👇🏾
www.theguardian.com/australia-ne...",2025-05-11T01:30:25.647Z,0,negative,https://bsky.app/profile/stranger84.bsky.social/post/3loucmecfn22k,Night,Sunday,-0.9301387690281346,negative,,
dolcefarniete.bsky.social,"Thanks to Trump the right wing party here in Australia also has the same problem. Like Polievre, Dutton lost his seat in last week’s election. Current count in the lower house is 90 seats Labor, 40 seats Liberal. So keep up that #Resist for the midterms Bluesky friends. ✊",2025-05-11T01:22:30.649Z,5,negative,https://bsky.app/profile/dolcefarniete.bsky.social/post/3louc6altqc2m,Night,Sunday,-0.9692635660728612,negative,,
aussienews.bsky.social,Labor women are set to outnumber men in the House of Representatives following the party's historic election result. How does Australia compare globally? #news #sbs #politics #australia #federal #election #2025,2025-05-11T01:00:05.959Z,0,negative,https://bsky.app/profile/aussienews.bsky.social/post/3louaw6mqnm23,Night,Sunday,-0.626232073286348,negative,,
drcgjones.bsky.social,"Australia introduced it in the 1930s after a 60% turnout. It's been a resounding success, with over 90% turnout at every election.",2025-05-10T23:36:56.547Z,1,negative,https://bsky.app/profile/drcgjones.bsky.social/post/3lou4bhhycs2m,Evening,Saturday,-0.9864811118325594,negative,,
malcolmconn.bsky.social,“More than eight million Australian residents were born overseas. This means over 30 per cent of residents in Australia are first generation migrants.” - so why the anti migrant nonsense trotted out again during the election campaign?! www.thenewdaily.com.au/news/world/2...,2025-05-10T23:11:05.946Z,4,negative,https://bsky.app/profile/malcolmconn.bsky.social/post/3lou2tbnzyk2l,Evening,Saturday,-0.9765315471071094,negative,,
johnmenadue.com,The ABC and SBS are still the most trusted news source in Australia. ABC’s recent election night coverage broke viewership records. Young audiences get news from social media. Australian news has been facing digital disruption for decades. #auspol #media,2025-05-10T22:00:50.647Z,42,negative,https://bsky.app/profile/johnmenadue.com/post/3lotwvo2kmz2g,Evening,Saturday,-0.8041019836514596,negative,,
wanewsdaily.bsky.social,1. 🗳️ The article reviews the Liberal Party's unsuccessful federal election campaign in Western Australia and Labor's retention of seats.,2025-05-10T22:00:17.605Z,0,negative,https://bsky.app/profile/wanewsdaily.bsky.social/post/3lotwuojlok2k,Evening,Saturday,-0.8768397317418233,negative,,
nowbreezing.ntw.app,"
Bluesky's Top 10 Trending Words from the Past 10 Minutes:
💨x1* - trump 🔓
💨x1* - ukraine 🔓
💨x1* - gaza 🔓
💨x24 - brunson
💨x21 - maid
💨x18 - anneler
💨x15 - knicks
💨x14 - hsv
💨x14 - 2025-05-10
💨x11 - fedi
(tap to see all posts w/ the word! ANDROID: long-press&copy)

#йобанарусня 🇺🇦",2025-05-10T21:50:52.753Z,1,negative,https://bsky.app/profile/nowbreezing.ntw.app/post/3lotwdtrer623,Evening,Saturday,-0.9879217372654368,negative,,
